start_time,stop_time,cluster
2007-01-06 13:48:59.637700,2007-01-06 13:49:02.462700,10
2007-01-06 13:57:39.987700,2007-01-06 13:57:43.962700,10
2007-01-06 14:02:19.737700,2007-01-06 14:02:22.312700,10
2007-01-06 14:04:19.162700,2007-01-06 14:04:21.637700,10
2007-01-06 14:15:04.137700,2007-01-06 14:15:06.587700,10
2007-01-06 14:32:53.112700,2007-01-06 14:32:55.787700,10
2007-01-06 14:48:21.962700,2007-01-06 14:48:23.662700,10
2007-01-06 14:59:05.837700,2007-01-06 14:59:08.112700,10
2007-01-06 15:00:52.212700,2007-01-06 15:00:53.987700,10
2007-01-06 15:12:10.962700,2007-01-06 15:12:13.362700,10
2007-01-06 15:27:55.512700,2007-01-06 15:27:57.587700,10
2007-01-06 15:40:02.062700,2007-01-06 15:40:05.337700,10
2007-01-06 15:42:56.462700,2007-01-06 15:42:59.287700,10
2007-01-06 15:44:06.637700,2007-01-06 15:44:09.062700,10
2007-01-06 15:57:44.037700,2007-01-06 15:57:47.112700,10
2007-01-06 16:05:20.637700,2007-01-06 16:05:23.262700,10
2007-01-06 16:09:24.537700,2007-01-06 16:09:26.562700,10
2007-01-06 16:27:49.762700,2007-01-06 16:27:52.162700,10
2007-01-06 16:32:57.562700,2007-01-06 16:33:01.037700,10
2007-01-06 16:49:39.962700,2007-01-06 16:49:41.562700,10
2007-01-06 17:02:25.787700,2007-01-06 17:02:27.912700,10
2007-01-06 17:11:01.837700,2007-01-06 17:11:04.037700,10
2007-01-06 17:32:59.712700,2007-01-06 17:33:01.262700,10
2007-01-06 17:38:13.337700,2007-01-06 17:38:16.087700,10
2007-01-06 17:45:02.962700,2007-01-06 17:45:04.937700,10
2007-01-06 17:59:16.987700,2007-01-06 17:59:18.412700,10
2007-01-06 18:09:42.387700,2007-01-06 18:09:45.412700,10
2007-01-06 18:27:05.237700,2007-01-06 18:27:06.937700,10
2007-01-06 19:00:03.087700,2007-01-06 19:00:05.062700,10
2007-01-06 19:03:11.787700,2007-01-06 19:03:13.837700,10
2007-01-06 19:06:44.062700,2007-01-06 19:06:45.887700,10
2007-01-06 19:09:54.462700,2007-01-06 19:09:56.162700,10
2007-01-06 19:10:39.512700,2007-01-06 19:10:42.737700,10
2007-01-06 19:38:59.887700,2007-01-06 19:39:02.787700,10
2007-01-06 19:39:11.587700,2007-01-06 19:39:13.812700,10
2007-01-06 19:54:11.687700,2007-01-06 19:54:13.837700,10
2007-01-06 19:54:43.337700,2007-01-06 19:54:45.312700,10
2007-01-06 20:17:01.712700,2007-01-06 20:17:03.737700,10
2007-01-06 21:34:33.462700,2007-01-06 21:34:35.737700,10
2007-01-06 22:07:30.112700,2007-01-06 22:07:33.412700,10
2007-01-06 22:29:46.387700,2007-01-06 22:29:48.737700,10
2007-01-06 22:38:57.337700,2007-01-06 22:38:59.412700,10
2007-01-06 23:15:27.162700,2007-01-06 23:15:29.162700,10
2007-01-07 00:06:42.487700,2007-01-07 00:06:44.862700,10
2007-01-07 00:27:06.737700,2007-01-07 00:27:08.562700,10
2007-01-07 00:32:45.937700,2007-01-07 00:32:47.537700,10
2007-01-07 02:38:54.087700,2007-01-07 02:38:56.112700,10
2007-01-07 03:34:15.137700,2007-01-07 03:34:17.362700,10
